queue_name,queue_slug,scenario_id,replication,state,time_in_state,probability
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,0,229.78795582211143,0.25531995091345716
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,1,182.95960302195164,0.20328844780216848
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,2,145.71944927551522,0.1619104991950169
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,3,117.45898478906398,0.13050998309895998
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,4,93.8564608879602,0.104284956542178
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,5,73.09449297838697,0.08121610330931885
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,6,57.123053225010565,0.06347005913890062
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,0,229.60537688166332,0.25511708542407036
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,1,183.64856666410498,0.20405396296011663
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,2,146.98604676702308,0.16331782974113676
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,3,117.56587299684553,0.1306287477742728
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,4,92.70569858453817,0.10300633176059797
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,5,71.96662638893487,0.07996291820992764
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,1,6,57.52181171689007,0.06391312412987786
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,0,227.41000548831084,0.25267778387590095
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,1,182.936559722759,0.2032628441363989
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,2,145.05039894840877,0.1611671099426764
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,3,116.96688722772431,0.1299632080308048
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,4,92.58912213388604,0.10287680237098448
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,5,74.7953442750009,0.08310593808333433
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,2,6,60.25168220391018,0.0669463135599002
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,0,225.97350639849827,0.2510816737761092
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,1,180.54920868551972,0.2006102318727997
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,2,145.3812017316627,0.16153466859073634
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,3,117.61101055261146,0.13067890061401274
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,4,93.76482043588896,0.1041831338176544
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,5,75.38610112288836,0.08376233458098707
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,3,6,61.33415107293051,0.06814905674770057
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,0,229.2488224166687,0.2547209137962986
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,1,181.6402255012149,0.20182247277912765
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,2,143.10961937990956,0.15901068819989952
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,3,114.90777000968366,0.12767530001075963
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,4,93.55241986907669,0.10394713318786299
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,5,76.25165768866307,0.08472406409851453
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,4,6,61.28948513478343,0.06809942792753715
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,5,0,230.5637105570932,0.25618190061899243
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,5,1,182.2331948298424,0.2024813275887138
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,5,2,145.89548904290282,0.1621060989365587
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,5,3,115.51243079879272,0.1283471453319919
