queue_name,queue_slug,scenario_id,replication,time,num_in_system,num_in_queue,busy_servers
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,100.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,101.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,102.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,103.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,104.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,105.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,106.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,107.0,6,5,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,108.0,6,5,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,109.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,110.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,111.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,112.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,113.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,114.0,5,4,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,115.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,116.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,117.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,118.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,119.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,120.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,121.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,122.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,123.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,124.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,125.0,6,5,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,126.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,127.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,128.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,129.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,130.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,131.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,132.0,5,4,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,133.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,134.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,135.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,136.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,137.0,3,2,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,138.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,139.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,140.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,141.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,142.0,4,3,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,143.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,144.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,145.0,1,0,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,146.0,0,0,0
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,147.0,2,1,1
Fila M/M/1 com Buffer Inteligente e Descarte Seletivo,mm1_buffer_inteligente_descarte_seletivo,base,0,148.0,1,0,1
